,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
0,8,307.0,130,3504,12.0,70,1,18.0
1,8,350.0,165,3693,11.5,70,1,15.0
2,8,318.0,150,3436,11.0,70,1,18.0
3,8,304.0,150,3433,12.0,70,1,16.0
4,8,302.0,140,3449,10.5,70,1,17.0
5,8,429.0,198,4341,10.0,70,1,15.0
6,8,454.0,220,4354,9.0,70,1,14.0
7,8,440.0,215,4312,8.5,70,1,14.0
8,8,455.0,225,4425,10.0,70,1,14.0
9,8,390.0,190,3850,8.5,70,1,15.0
10,8,383.0,170,3563,10.0,70,1,15.0
11,8,340.0,160,3609,8.0,70,1,14.0
12,8,400.0,150,3761,9.5,70,1,15.0
13,8,455.0,225,3086,10.0,70,1,14.0
14,4,113.0,95,2372,15.0,70,3,24.0
15,6,198.0,95,2833,15.5,70,1,22.0
16,6,199.0,97,2774,15.5,70,1,18.0
17,6,200.0,85,2587,16.0,70,1,21.0
18,4,97.0,88,2130,14.5,70,3,27.0
19,4,97.0,46,1835,20.5,70,2,26.0
20,4,110.0,87,2672,17.5,70,2,25.0
21,4,107.0,90,2430,14.5,70,2,24.0
22,4,104.0,95,2375,17.5,70,2,25.0
23,4,121.0,113,2234,12.5,70,2,26.0
24,6,199.0,90,2648,15.0,70,1,21.0
25,8,360.0,215,4615,14.0,70,1,10.0
26,8,307.0,200,4376,15.0,70,1,10.0
27,8,318.0,210,4382,13.5,70,1,11.0
28,8,304.0,193,4732,18.5,70,1,9.0
29,4,97.0,88,2130,14.5,71,3,27.0
30,4,140.0,90,2264,15.5,71,1,28.0
31,4,113.0,95,2228,14.0,71,3,25.0
33,6,232.0,100,2634,13.0,71,1,19.0
34,6,225.0,105,3439,15.5,71,1,16.0
35,6,250.0,100,3329,15.5,71,1,17.0
36,6,250.0,88,3302,15.5,71,1,19.0
37,6,232.0,100,3288,15.5,71,1,18.0
38,8,350.0,165,4209,12.0,71,1,14.0
39,8,400.0,175,4464,11.5,71,1,14.0
40,8,351.0,153,4154,13.5,71,1,14.0
41,8,318.0,150,4096,13.0,71,1,14.0
42,8,383.0,180,4955,11.5,71,1,12.0
43,8,400.0,170,4746,12.0,71,1,13.0
44,8,400.0,175,5140,12.0,71,1,13.0
45,6,258.0,110,2962,13.5,71,1,18.0
46,4,140.0,72,2408,19.0,71,1,22.0
47,6,250.0,100,3282,15.0,71,1,19.0
48,6,250.0,88,3139,14.5,71,1,18.0
49,4,122.0,86,2220,14.0,71,1,23.0
50,4,116.0,90,2123,14.0,71,2,28.0
51,4,79.0,70,2074,19.5,71,2,30.0
52,4,88.0,76,2065,14.5,71,2,30.0
53,4,71.0,65,1773,19.0,71,3,31.0
54,4,72.0,69,1613,18.0,71,3,35.0
55,4,97.0,60,1834,19.0,71,2,27.0
56,4,91.0,70,1955,20.5,71,1,26.0
57,4,113.0,95,2278,15.5,72,3,24.0
58,4,97.5,80,2126,17.0,72,1,25.0
59,4,97.0,54,2254,23.5,72,2,23.0
60,4,140.0,90,2408,19.5,72,1,20.0
61,4,122.0,86,2226,16.5,72,1,21.0
62,8,350.0,165,4274,12.0,72,1,13.0
63,8,400.0,175,4385,12.0,72,1,14.0
64,8,318.0,150,4135,13.5,72,1,15.0
65,8,351.0,153,4129,13.0,72,1,14.0
66,8,304.0,150,3672,11.5,72,1,17.0
67,8,429.0,208,4633,11.0,72,1,11.0
68,8,350.0,155,4502,13.5,72,1,13.0
69,8,350.0,160,4456,13.5,72,1,12.0
70,8,400.0,190,4422,12.5,72,1,13.0
71,3,70.0,97,2330,13.5,72,3,19.0
72,8,304.0,150,3892,12.5,72,1,15.0
73,8,307.0,130,4098,14.0,72,1,13.0
74,8,302.0,140,4294,16.0,72,1,13.0
75,8,318.0,150,4077,14.0,72,1,14.0
76,4,121.0,112,2933,14.5,72,2,18.0
77,4,121.0,76,2511,18.0,72,2,22.0
78,4,120.0,87,2979,19.5,72,2,21.0
79,4,96.0,69,2189,18.0,72,2,26.0
80,4,122.0,86,2395,16.0,72,1,22.0
81,4,97.0,92,2288,17.0,72,3,28.0
82,4,120.0,97,2506,14.5,72,3,23.0
83,4,98.0,80,2164,15.0,72,1,28.0
84,4,97.0,88,2100,16.5,72,3,27.0
85,8,350.0,175,4100,13.0,73,1,13.0
86,8,304.0,150,3672,11.5,73,1,14.0
87,8,350.0,145,3988,13.0,73,1,13.0
88,8,302.0,137,4042,14.5,73,1,14.0
89,8,318.0,150,3777,12.5,73,1,15.0
90,8,429.0,198,4952,11.5,73,1,12.0
91,8,400.0,150,4464,12.0,73,1,13.0
92,8,351.0,158,4363,13.0,73,1,13.0
93,8,318.0,150,4237,14.5,73,1,14.0
94,8,440.0,215,4735,11.0,73,1,13.0
95,8,455.0,225,4951,11.0,73,1,12.0
96,8,360.0,175,3821,11.0,73,1,13.0
97,6,225.0,105,3121,16.5,73,1,18.0
98,6,250.0,100,3278,18.0,73,1,16.0
99,6,232.0,100,2945,16.0,73,1,18.0
100,6,250.0,88,3021,16.5,73,1,18.0
101,6,198.0,95,2904,16.0,73,1,23.0
102,4,97.0,46,1950,21.0,73,2,26.0
103,8,400.0,150,4997,14.0,73,1,11.0
104,8,400.0,167,4906,12.5,73,1,12.0
105,8,360.0,170,4654,13.0,73,1,13.0
106,8,350.0,180,4499,12.5,73,1,12.0
107,6,232.0,100,2789,15.0,73,1,18.0
108,4,97.0,88,2279,19.0,73,3,20.0
109,4,140.0,72,2401,19.5,73,1,21.0
110,4,108.0,94,2379,16.5,73,3,22.0
111,3,70.0,90,2124,13.5,73,3,18.0
112,4,122.0,85,2310,18.5,73,1,19.0
113,6,155.0,107,2472,14.0,73,1,21.0
114,4,98.0,90,2265,15.5,73,2,26.0
